URL,list/product page,product name,price,discounted price,position,number of photos,flavor,ingredients,nutrition facts
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Blackberry Vanilla,$35.99,,1,,,,
https://drinkolipop.com/products/blackberry-vanilla,product page,Blackberry Vanilla,,,,8,Blackberry Vanilla,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Blackberry Juice Concentrate, Apple Juice Concentrate, Cassava Root Syrup, Mandarin Juice Concentrate, Lemon Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Natural Flavors. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 18g 7% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 1g Added Sugars 2% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Crisp Apple,$35.99,,2,,,,
https://drinkolipop.com/products/crisp-apple,product page,Crisp Apple,,,,9,Crisp Apple,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Apple Juice Concentrate, Cassava Root Syrup, Apricot Juice Concentrate, Lemon Juice Concentrate, Stevia Leaf*, Malic Acid, Himalayan Pink Salt, Natural Flavors. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 17g 6% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 1g Added Sugars 2% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Classic Grape,$35.99,,3,,,,
https://drinkolipop.com/products/classic-grape,product page,Classic Grape,,,,8,Classic Grape,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Concord Grape Juice Concentrate, Cassava Root Syrup, Apple Juice Concentrate, Tartaric Acid (From Grapes), Quince Juice Concentrate, Lime Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Natural Flavors. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 16g 6% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 1g Added Sugars 2% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Classic Root Beer,$35.99,,4,,,,
https://drinkolipop.com/products/classic-root-beer,product page,Classic Root Beer,,,,8,Classic Root Beer,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Apple Juice Concentrate, Natural Flavors, Lemon Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Mushroom*. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 40 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 15g 5% Dietary Fiber 9g 32% Total Sugars 3g Not applicable Includes 1g Added Sugars 2% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Vintage Cola,$35.99,,5,,,,
https://drinkolipop.com/products/vintage-cola,product page,Vintage Cola,,,,8,Vintage Cola,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Apple Juice Concentrate, Natural Flavors, Lime Juice Concentrate, Stevia Leaf*, Alpinia Galanga Root*, Green Tea Caffeine*, Himalayan Pink Salt, Mushroom* *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 17g 6% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 2g Added Sugars 4% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
